epoch,train_loss,train_acc,test_loss,test_acc
1,3.3991897773742674,0.125,3.2827483463287352,0.11
2,2.712543659210205,0.254375,2.7464866542816164,0.27
3,2.262067952156067,0.380625,2.3692620372772217,0.3575
4,1.9761696934700013,0.456875,2.45687650680542,0.2925
5,1.7501655268669127,0.505625,1.976047043800354,0.4625
6,1.5067783975601197,0.580625,1.8038384056091308,0.505
7,1.3111779928207397,0.629375,1.7257277822494508,0.505
8,1.0922178435325622,0.713125,2.150062274932861,0.4425
9,0.9812580597400664,0.723125,1.4964176416397097,0.575
10,0.8463645470142365,0.785625,1.824464530944824,0.52
11,0.8008536678552628,0.786875,1.4943416786193848,0.57
12,0.6452192622423172,0.83625,1.6935857725143433,0.58
13,0.5372833126783371,0.87125,1.5363498210906985,0.5875
14,0.4733401644229889,0.889375,1.3526831340789796,0.635
15,0.455927745103836,0.87875,1.9811201095581052,0.555
16,0.3696061506867408,0.919375,1.3683811473846434,0.6575
17,0.3304686146974563,0.92625,1.2053049802780151,0.6875
18,0.2864060701429844,0.9425,1.406971440315247,0.61
19,0.2564771758019924,0.949375,1.1965814709663392,0.6525
20,0.182289742231369,0.9675,1.1628178715705872,0.705
21,0.1405421060323715,0.981875,1.1726087856292724,0.7025
22,0.1442953106760978,0.975,1.3451072406768798,0.6525
23,0.1495943977683782,0.9725,1.4646752595901489,0.6175
24,0.128206347823143,0.97625,1.3947980284690855,0.66
25,0.1384652160108089,0.973125,1.3381618928909302,0.655
26,0.1682768019288778,0.959375,1.875354557037353,0.5675
27,0.14375448346138,0.97125,1.3197023677825928,0.6875
28,0.1079486937820911,0.980625,1.293195791244507,0.6775
29,0.0635481363721191,0.991875,1.3952479124069217,0.645
30,0.0438643434643745,0.998125,1.213982367515564,0.7075
31,0.0348773399554193,0.99625,1.1056324410438538,0.715
32,0.0386554246023297,0.99625,1.5639063692092896,0.655
33,0.0422134027257561,0.998125,1.1552369272708891,0.6925
34,0.0250846390239894,0.998125,1.4272388052940368,0.6675
35,0.0319011870585382,0.99625,1.2226943850517271,0.6725
36,0.0357928943820297,0.996875,1.221174647808075,0.695
37,0.0212056616600602,0.998125,1.5417299127578736,0.65
38,0.0267603705450892,0.998125,1.2961020469665527,0.6925
39,0.0132301138527691,1.0,1.1205924022197724,0.7475
40,0.010586163601838,0.999375,1.2160043430328369,0.74
41,0.0140324919996783,1.0,1.1430356621742248,0.725
42,0.0081216287240386,1.0,1.109236603975296,0.745
43,0.0063318507233634,1.0,1.0940287494659424,0.745
44,0.0058742957515642,1.0,1.0919868075847623,0.745
45,0.004841646105051,1.0,1.1676687228679656,0.735
46,0.0042307345964945,1.0,1.103852231502533,0.7375
47,0.0037371442583389,1.0,1.1183535027503968,0.7475
48,0.0042545303679071,1.0,1.072021985054016,0.75
49,0.0207340193958953,0.9975,2.2225910329818728,0.545
50,0.5071927010267973,0.853125,2.494879150390625,0.4925
